"start","end","year","ships","days"
"Coron","Crete",1374,1,4
"Crete","Alexandrie",1374,1,1
"Venice","Flanders",1375,5,1
"Flanders","Brabant",1375,5,50
"Venice","Crete",1375,2,1
"Crete","Cyprus",1375,2,1
"Cyprus","Beyrouth",1375,2,20
"Beyrouth","Tripoli.Syria",1375,2,1
"Tripoli.Syria","Laodicée",1375,2,1
"Venice","Modon",1375,3,1
"Modon","Coron",1375,3,2
"Coron","Constantinople",1375,3,3
"Constantinople","Tana",1375,3,12
"Venice","Modon",1375,1,1
"Modon","Coron",1375,1,2
"Coron","Constantinople",1375,1,3
"Constantinople","Trebizonde",1375,1,8
"Venice","Negrepont",1376,2,1
"Negrepont","Constantinople",1376,2,1
"Constantinople","Tana",1376,2,8
"Venice","Negrepont",1376,1,1
"Negrepont","Constantinople",1376,1,1
"Constantinople","Trebizonde",1376,1,8
"Venice","Crete",1376,3,1
"Crete","Beyrouth",1376,3,1
"Venice","Crete",1376,2,1
"Crete","Alexandrie",1376,2,8
"Venice","Crete",1376,2,1
"Crete","Alexandrie",1376,2,8
"Alexandrie","Beyrouth",1376,2,1
"Venice","Jerusalem",1376,1,1
"Venice","Negrepont",1377,2,1
"Negrepont","Romanie",1377,2,1
"Venice","Modon",1382,2,1
"Modon","Tenedos",1382,2,4
"Tenedos","Constantinople",1382,2,3
"Constantinople","Provato",1382,2,1
"Provato","Trebizonde",1382,2,1
"Venice","Cap.Malee",1382,3,1
"Cap.Malee","Beyrouth",1382,3,25
"Venice","Cap.Malee",1382,2,1
"Cap.Malee","Alexandrie",1382,2,2
"Venice","Modon",1382,2,1
"Modon","Corfou",1382,2,1
"Venice","Alexandrie",1382,2,1
"Alexandrie","Syria",1382,2,1
"Syria","Syria",1382,2,1
"Venice","Crete",1383,3,2
"Crete","Tana",1383,3,10
"Tana","Trebizonde",1383,3,6
"Venice","Modon",1383,2,1
"Modon","Crete",1383,2,1
"Crete","Alexandrie",1383,2,12
"Venice","Modon",1383,3,1
"Modon","Crete",1383,3,1
"Crete","Beyrouth",1383,3,24
"Venice","Jaffa",1383,1,1
"Venice","Syria",1383,2,1
"Syria","Jerusalem",1383,2,1
"Venice","Sevilla",1384,4,1
"Sevilla","Flanders",1384,4,1
"Flanders","Bruges",1384,4,1
"Bruges","Middlebourg",1384,4,1
"Venice","Negrepont",1384,2,1
"Negrepont","Constantinople",1384,2,2
"Constantinople","Tana",1384,2,10
"Tana","Trebizonde",1384,2,5
"Venice","Crete",1384,1,1
"Crete","Negrepont",1384,1,1
"Negrepont","Romanie",1384,1,1
"Venice","Beyrouth",1384,3,28
"Venice","Beyrouth",1384,1,28
"Beyrouth","Damas",1384,1,1
"Venice","Crete",1384,2,1
"Crete","Modon",1384,2,1
"Modon","Coron",1384,2,1
"Coron","Alexandrie",1384,2,8
"Venice","Modon",1384,1,2
"Modon","Alexandrie",1384,1,16
"Venice","Jaffa",1384,1,1
"Jaffa","Babylone",1384,1,1
"Venice","Jerusalem",1384,3,1
"Venice","Beyrouth",1385,2,28
"Beyrouth","Tripoli.Syria",1385,2,1
"Venice","Beyrouth",1385,2,28
"Beyrouth","Damas",1385,2,1
"Venice","Flanders",1385,4,40
"Flanders","Bruges",1385,4,1
"Bruges","Middlebourg",1385,4,1
"Middlebourg","Southampton",1385,4,1
"Southampton","Malaga",1385,4,1
"Venice","Corfou",1385,2,1
"Corfou","Modon",1385,2,1
"Modon","Constantinople",1385,2,2
"Constantinople","Tana",1385,2,12
"Venice","Corfou",1385,1,1
"Corfou","Modon",1385,1,1
"Modon","Constantinople",1385,1,2
"Constantinople","Trebizonde",1385,1,4
"Venice","Modon",1385,2,2
"Modon","Coron",1385,2,2
"Coron","Crete",1385,2,2
"Crete","Alexandrie",1385,2,1
"Venice","Negrepont",1386,2,1
"Negrepont","Constantinople",1386,2,2
"Constantinople","Tana",1386,2,8
"Venice","Flanders",1386,2,1
"Flanders","Sluis",1386,2,40
"Venice","Sluis",1386,1,1
"Sluis","Bruges",1386,1,1
"Venice","Beyrouth",1386,4,28
"Beyrouth","Tripoli.Syria",1386,4,1
"Tripoli.Syria","Damas",1386,4,1
"Venice","Beyrouth",1386,1,28
"Beyrouth","Damas",1386,1,1
"Venice","Alexandrie",1386,2,20
"Venice","Jaffa",1386,1,1
"Venice","Sluis",1387,3,50
"Venice","Negrepont",1387,2,1
"Negrepont","Constantinople",1387,2,2
"Constantinople","Tana",1387,2,14
"Venice","Alexandrie",1387,2,20
"Venice","Beyrouth",1387,4,28
"Venice","Beyrouth",1387,1,28
"Beyrouth","Laodicée",1387,1,1
"Venice","Jaffa",1387,1,1
"Venice","Beyrouth",1387,2,1
"Venice","Crete",1388,2,2
"Crete","Alexandrie",1388,2,20
"Venice","Negrepont",1388,3,1
"Negrepont","Constantinople",1388,3,2
"Constantinople","Tana",1388,3,8
"Tana","Provato",1388,3,6
"Provato","Trebizonde",1388,3,5
"Venice","Beyrouth",1388,4,28
"Venice","Constantinople",1389,3,2
"Constantinople","Tana",1389,3,14
"Venice","Flanders",1389,3,1
"Flanders","Sluis",1389,3,50
"Venice","Alexandrie",1389,2,20
